gene	score	zlfc	RRA	RRA_Score_down	RRA_Score_down_adj	RRA_Score_up	RRA_Score_up_adj	essential ranking	enrich ranking
EIF2B2	-15.68436547	-11.68436547	3.11001E-21	3.11001E-21	1.38652E-17	1	1	1	17833
RUVBL1	-15.53408248	-11.53408248	1.20027E-23	1.20027E-23	2.14044E-19	1	1	2	17832
OIP5	-14.50213035	-10.50213035	7.17176E-18	7.17176E-18	3.87557E-15	1	1	3	17831
IPO7	-14.14107666	-10.14107666	1.32207E-17	1.32207E-17	6.31435E-15	1	1	4	17830
DIEXF	-14.09229824	-10.09229824	1.3111E-18	1.3111E-18	1.06277E-15	1	1	5	17829
COPA	-14.05888754	-10.05888754	1.08627E-20	1.08627E-20	3.22856E-17	1	1	6	17828
ZNHIT2	-13.8796667	-9.879666695	2.57621E-17	2.57621E-17	9.98731E-15	1	1	7	17827
XPO1	-13.87017241	-9.870172412	7.05419E-22	7.05419E-22	4.22686E-18	1	1	8	17826
RPS19	-13.74996845	-9.749968452	2.22593E-19	2.22593E-19	3.60863E-16	1	1	9	17825
NFS1	-13.64468507	-9.644685074	7.11074E-22	7.11074E-22	4.22686E-18	1	1	10	17824
MED11	-13.4907528	-9.490752796	1.17401E-19	1.17401E-19	2.61702E-16	1	1	11	17823
SMC4	-13.0937599	-9.093759901	2.75946E-18	2.75946E-18	1.69688E-15	1	1	12	17822
TRAPPC8	-12.96179544	-8.961795437	5.95733E-19	5.95733E-19	7.49642E-16	1	1	13	17821
PES1	-12.93513447	-8.935134471	9.21386E-19	9.21386E-19	8.64794E-16	1	1	14	17820
EIF3G	-12.89556235	-8.895562353	2.60327E-18	2.60327E-18	1.658E-15	1	1	15	17819
EIF3D	-12.88087774	-8.880877744	1.98835E-17	1.98835E-17	8.169E-15	1	1	16	17818
SLC7A6OS	-12.81989136	-8.819891356	3.04411E-17	3.04411E-17	1.10787E-14	1	1	17	17817
TUBG1	-12.78450878	-8.784508778	8.79002E-21	8.79002E-21	3.13505E-17	1	1	18	17816
ANAPC4	-12.75707983	-8.75707983	1.73713E-17	1.73713E-17	7.37576E-15	1	1	19	17815
NUP133	-12.73226551	-8.732265509	1.11973E-18	1.11973E-18	9.50867E-16	1	1	20	17814
TSEN54	-12.64873192	-8.648731923	6.24279E-13	6.24279E-13	5.24484E-11	1	1	21	17813
MAD2L1BP	-12.61930065	-8.619300647	5.77814E-20	5.77814E-20	1.47202E-16	1	1	22	17812
RPL23	-12.59045346	-8.590453462	2.02055E-19	2.02055E-19	3.60324E-16	1	1	23	17811
PFDN6	-12.55011383	-8.550113831	1.23635E-16	1.23635E-16	3.39197E-14	1	1	24	17810
RPS8	-12.49768439	-8.497684387	5.52932E-18	5.52932E-18	3.08138E-15	1	1	25	17809
MCM5	-12.4815287	-8.4815287	3.69155E-19	3.69155E-19	5.06395E-16	1	1	26	17808
POLR2B	-12.46976701	-8.46976701	2.51105E-19	2.51105E-19	3.73164E-16	1	1	27	17807
KDSR	-12.46565866	-8.465658659	4.39687E-15	4.39687E-15	6.37474E-13	1	1	28	17806
SSU72	-12.45143571	-8.451435712	2.43582E-13	2.43582E-13	2.20498E-11	1	1	29	17805
GRWD1	-12.43265776	-8.432657764	1.34551E-17	1.34551E-17	6.31435E-15	1	1	30	17804
RNF113A	-12.41695481	-8.416954811	3.28704E-16	3.28704E-16	6.9783E-14	1	1	31	17803
MDN1	-12.40861761	-8.408617608	1.37145E-19	1.37145E-19	2.71746E-16	1	1	32	17802
RPL3	-12.39563321	-8.395633206	1.03905E-18	1.03905E-18	9.26472E-16	1	1	33	17801
NOC4L	-12.34323086	-8.343230855	1.47625E-17	1.47625E-17	6.5815E-15	1	1	34	17800
PSMC2	-12.30976139	-8.309761389	7.58271E-19	7.58271E-19	7.95426E-16	1	1	35	17799
ELL	-12.27256757	-8.272567566	1.39277E-16	1.39277E-16	3.76321E-14	1	1	36	17798
WDR12	-12.25828173	-8.258281734	1.10756E-16	1.10756E-16	3.13509E-14	1	1	37	17797
NAA10	-12.24510246	-8.245102458	5.93599E-14	5.93599E-14	6.33871E-12	1	1	38	17796
DNAJC9	-12.1909745	-8.190974498	1.45229E-16	1.45229E-16	3.85831E-14	1	1	39	17795
POLR3D	-12.18496021	-8.18496021	2.2947E-16	2.2947E-16	5.45618E-14	1	1	40	17794
NCAPH2	-12.16974119	-8.169741189	7.48178E-19	7.48178E-19	7.95426E-16	1	1	41	17793
ITGB5	-12.1510882	-8.151088196	9.65933E-14	9.65933E-14	9.73191E-12	1	1	42	17792
BYSL	-12.1496686	-8.149668606	2.38554E-13	2.38554E-13	2.1816E-11	1	1	43	17791
CIAO1	-12.14667637	-8.146676374	9.13073E-17	9.13073E-17	2.7598E-14	1	1	44	17790
CIAPIN1	-12.11547978	-8.115479778	3.88742E-15	3.88742E-15	5.80876E-13	1	1	45	17789
CLNS1A	-12.05443573	-8.054435733	3.82812E-17	3.82812E-17	1.33857E-14	1	1	46	17788
PHB2	-12.05325927	-8.053259267	3.01459E-14	3.01459E-14	3.46833E-12	1	1	47	17787
PSMA4	-12.04930593	-8.049305934	1.72522E-17	1.72522E-17	7.37576E-15	1	1	48	17786
GNB1L	-12.0488288	-8.048828797	4.35304E-14	4.35304E-14	4.7334E-12	1	1	49	17785
WDR18	-12.04673287	-8.046732869	3.60295E-14	3.60295E-14	4.02303E-12	1	1	50	17784
PSMB3	-12.02969722	-8.029697221	2.58083E-13	2.58083E-13	2.32444E-11	1	1	51	17783
ALG1	-12.02694887	-8.026948873	2.90237E-17	2.90237E-17	1.07829E-14	1	1	52	17782
WDR74	-11.98963388	-7.989633885	2.77933E-16	2.77933E-16	6.35433E-14	1	1	53	17781
GINS2	-11.98557245	-7.98557257	2.65555E-11	2.65555E-11	1.63298E-09	1	1	54	17780
ATP6V0B	-11.98398033	-7.98398033	1.36195E-13	1.36195E-13	1.32719E-11	1	1	55	17779
SRSF3	-11.98244159	-7.982441593	9.25309E-15	9.25309E-15	1.23142E-12	1	1	56	17778
EIF3B	-11.9298502	-7.9298502	9.94126E-17	9.94126E-17	2.93666E-14	1	1	57	17777
RSL24D1	-11.91547924	-7.915479237	2.46695E-17	2.46695E-17	9.77624E-15	1	1	58	17776
EMC3	-11.90999258	-7.909992583	4.61796E-16	4.61796E-16	9.25304E-14	1	1	59	17775
RPL24	-11.8587241	-7.858724095	3.90877E-15	3.90877E-15	5.80876E-13	1	1	60	17774
MCM2	-11.85453693	-7.854536928	1.76815E-18	1.76815E-18	1.31381E-15	1	1	61	17773
PSMD4	-11.85430966	-7.854309659	2.19095E-18	2.19095E-18	1.50274E-15	1	1	62	17772
RPL23A	-11.8306689	-7.8306689	4.23034E-18	4.23034E-18	2.51465E-15	1	1	63	17771
RPS2	-11.80063772	-7.800637722	1.93694E-18	1.93694E-18	1.38166E-15	1	1	64	17770
RAD51	-11.79765301	-7.797653009	1.21579E-14	1.21579E-14	1.5598E-12	1	1	65	17769
PDCD7	-11.75930691	-7.759306912	1.51102E-16	1.51102E-16	3.90521E-14	1	1	66	17768
